doctor_id,nic,name,date_of_birth,gender,phone_number,email,address,year_experience,specialization,department_id,salary,joining_date,is_active
DOC017,42101-4659184-6,Dr. Kamran Butt,10/5/1976,Male,0316-7890123,kamran.butt@hospital.com,1414 Spruce St  Multan,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC018,42101-4887695-0,Dr. Rida Fatima,6/22/1985,Female,0317-8901234,rida.fatima@hospital.com,1515 Walnut St  Peshawar,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC019,42101-7307671-3,Dr. Saad Malik,2/28/1980,Male,0318-9012345,saad.malik@hospital.com,1616 Chestnut St  Quetta,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC020,42101-7921714-3,Dr. Hina Aslam,8/15/1982,Female,0319-0123456,hina.aslam@hospital.com,1717 Birch St  Hyderabad,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC021,42101-5612307-1,Dr. Ali Raza,3/10/1978,Male,0320-1234567,ali.raza@hospital.com,1818 Pine St  Sialkot,18,Emergency,DPT001,145000,4/15/2007,TRUE
DOC022,42101-0612654-0,Dr. Sadia Yousuf,7/25/1984,Female,0321-2345678,sadia.yousuf@hospital.com,1919 Elm St  Gujranwala,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC023,42101-1178363-6,Dr. Farhan Ahmed,11/12/1979,Male,0322-3456789,farhan.ahmed@hospital.com,2020 Oak St  Karachi,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC024,42101-5358106-2,Dr. Ayesha Khan,5/20/1986,Female,0323-4567890,ayesha.khan@hospital.com,2121 Maple St  Lahore,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC025,42101-5575974-8,Dr. Zahid Hussain,9/15/1977,Male,0324-5678901,zahid.hussain@hospital.com,2222 Cedar St  Islamabad,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC026,42101-2117728-0,Dr. Mehwish Ali,2/28/1983,Female,0325-6789012,mehwish.ali@hospital.com,2323 Spruce St  Rawalpindi,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC027,42101-2802788-6,Dr. Asif Mahmood,6/12/1980,Male,0326-7890123,asif.mahmood@hospital.com,2424 Walnut St  Faisalabad,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC028,42101-9461169-4,Dr. Tania Rehman,12/1/1985,Female,0327-8901234,tania.rehman@hospital.com,2525 Chestnut St  Multan,10,ENT,DPT008,128000,2/15/2015,FALSE
DOC029,42101-8434340-5,Dr. Rehan Qureshi,8/25/1976,Male,0328-9012345,rehan.qureshi@hospital.com,2626 Birch St  Peshawar,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC030,42101-6879193-8,Dr. Saba Khan,3/10/1982,Female,0329-0123456,saba.khan@hospital.com,2727 Pine St  Quetta,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC031,42101-8877974-3,Dr. Imtiaz Ahmed,5/20/1978,Male,0330-1234567,imtiaz.ahmed@hospital.com,2828 Elm St  Hyderabad,17,Psychiatry,DPT011,140000,11/5/2008,TRUE
DOC032,42101-7224489-4,Dr. Naila Akhtar,9/15/1984,Female,0331-2345678,naila.akhtar@hospital.com,2929 Oak St  Sialkot,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC033,42101-3399734-6,Dr. Salman Rehman,11/30/1979,Male,0332-3456789,salman.rehman@hospital.com,3030 Maple St  Gujranwala,16,Urology,DPT013,140000,3/15/2009,TRUE
DOC034,42101-2079234-6,Dr. Huma Iqbal,1/25/1986,Female,0333-4567890,huma.iqbal@hospital.com,3131 Cedar St  Karachi,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC035,42101-2369731-2,Dr. Asad Shah,7/12/1977,Male,0334-5678901,asad.shah@hospital.com,3232 Spruce St  Lahore,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC036,42101-3703695-5,Dr. Farida Tariq,4/18/1983,Female,0335-6789012,farida.tariq@hospital.com,3333 Walnut St  Islamabad,12,Radiology,DPT016,130000,2/15/2013,TRUE
DOC037,42101-5110041-8,Dr. Haroon Butt,10/5/1976,Male,0336-7890123,haroon.butt@hospital.com,3434 Chestnut St  Rawalpindi,19,Anesthesiology,DPT017,145000,5/20/2006,FALSE
DOC038,42101-2422717-9,Dr. Rubina Fatima,6/22/1985,Female,0337-8901234,rubina.fatima@hospital.com,3535 Birch St  Faisalabad,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC039,42101-1042568-0,Dr. Tariq Malik,2/28/1980,Male,0338-9012345,tariq.malik@hospital.com,3636 Pine St  Multan,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC040,42101-8021182-9,Dr. Shazia Aslam,8/15/1982,Female,0339-0123456,shazia.aslam@hospital.com,3737 Elm St  Peshawar,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC041,42101-1570321-4,Dr. Khalid Raza,3/10/1978,Male,0340-1234567,khalid.raza@hospital.com,3838 Oak St  Quetta,18,Emergency,DPT001,145000,4/15/2007,FALSE
DOC042,42101-7574043-9,Dr. Saima Yousuf,7/25/1984,Female,0341-2345678,saima.yousuf@hospital.com,3939 Maple St  Hyderabad,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC043,42101-2575852-2,Dr. Junaid Ahmed,11/12/1979,Male,0342-3456789,junaid.ahmed@hospital.com,4040 Cedar St  Sialkot,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC044,42101-4749877-1,Dr. Amna Khan,5/20/1986,Female,0343-4567890,amna.khan@hospital.com,4141 Spruce St  Gujranwala,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC045,42101-4001108-1,Dr. Naveed Hussain,9/15/1977,Male,0344-5678901,naveed.hussain@hospital.com,4242 Walnut St  Karachi,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC046,42101-9143214-8,Dr. Fiza Ali,2/28/1983,Female,0345-6789012,fiza.ali@hospital.com,4343 Chestnut St  Lahore,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC047,42101-2464969-9,Dr. Arif Mahmood,6/12/1980,Male,0346-7890123,arif.mahmood@hospital.com,4444 Birch St  Islamabad,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC048,42101-4161514-7,Dr. Samina Rehman,12/1/1985,Female,0347-8901234,samina.rehman@hospital.com,4545 Pine St  Rawalpindi,10,ENT,DPT008,128000,2/15/2015,FALSE
DOC049,42101-3756205-4,Dr. Yasir Qureshi,8/25/1976,Male,0348-9012345,yasir.quresshi@hospital.com,4646 Elm St  Faisalabad,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC050,42101-3427374-3,Dr. Hania Khan,3/10/1982,Female,0349-0123456,hania.khan@hospital.com,4747 Oak St  Multan,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC051,42101-4473537-2,Dr. Amir Ahmed,5/20/1978,Male,0350-1234567,amir.ahmed@hospital.com,4848 Maple St  Peshawar,17,Psychiatry,DPT011,140000,11/5/2008,TRUE
DOC052,42101-5950605-2,Dr. Sobia Akhtar,9/15/1984,Female,0351-2345678,sobia.akhtar@hospital.com,4949 Cedar St  Quetta,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC053,42101-8543160-0,Dr. Imran Rehman,11/30/1979,Male,0352-3456789,imran.rehman@hospital.com,5050 Spruce St  Hyderabad,16,Urology,DPT013,140000,3/15/2009,TRUE
DOC054,42101-2219024-8,Dr. Nadia Iqbal,1/25/1986,Female,0353-4567890,nadia.iqbal@hospital.com,5151 Walnut St  Sialkot,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC055,42101-3716623-9,Dr. Akbar Shah,7/12/1977,Male,0354-5678901,akbar.shah@hospital.com,5252 Chestnut St  Gujranwala,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC056,42101-2041368-5,Dr. Shaista Tariq,4/18/1983,Female,0355-6789012,shaista.tariq@hospital.com,5353 Birch St  Karachi,12,Radiology,DPT016,130000,2/15/2013,TRUE
DOC057,42101-0936241-4,Dr. Farooq Butt,10/5/1976,Male,0356-7890123,farooq.butt@hospital.com,5454 Pine St  Lahore,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC058,42101-8871690-6,Dr. Anum Fatima,6/22/1985,Female,0357-8901234,anum.fatima@hospital.com,5555 Elm St  Islamabad,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC059,42101-6947459-0,Dr. Adil Malik,2/28/1980,Male,0358-9012345,adil.malik@hospital.com,5656 Oak St  Rawalpindi,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC060,42101-3793533-4,Dr. Rehana Aslam,8/15/1982,Female,0359-0123456,rehana.aslam@hospital.com,5757 Maple St  Faisalabad,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC061,42101-8273577-3,Dr. Sohail Raza,3/10/1978,Male,0360-1234567,sohail.raza@hospital.com,5858 Cedar St  Multan,18,Emergency,DPT001,145000,4/15/2007,FALSE
DOC062,42101-5693869-8,Dr. Asma Yousuf,7/25/1984,Female,0361-2345678,asma.yousuf@hospital.com,5959 Spruce St  Peshawar,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC063,42101-4233617-1,Dr. Fahad Ahmed,11/12/1979,Male,0362-3456789,fahad.ahmed@hospital.com,6060 Walnut St  Quetta,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC064,42101-9877035-4,Dr. Sana Khan,5/20/1986,Female,0363-4567890,sana.khan@hospital.com,6161 Chestnut St  Hyderabad,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC065,42101-1433071-3,Dr. Asim Hussain,9/15/1977,Male,0364-5678901,asim.hussain@hospital.com,6262 Birch St  Sialkot,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC066,42101-3385229-5,Dr. Noreen Ali,2/28/1983,Female,0365-6789012,noreen.ali@hospital.com,6363 Pine St  Gujranwala,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC067,42101-2564716-5,Dr. Kashif Mahmood,6/12/1980,Male,0366-7890123,kashif.mahmood@hospital.com,6464 Elm St  Karachi,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC068,42101-3072942-2,Dr. Sadia Rehman,12/1/1985,Female,0367-8901234,sadia.rehman@hospital.com,6565 Oak St  Lahore,10,ENT,DPT008,128000,2/15/2015,FALSE
DOC069,42101-1725431-6,Dr. Bilal Qureshi,8/25/1976,Male,0368-9012345,bilal.qureshi@hospital.com,6666 Maple St  Islamabad,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC070,42101-8640633-9,Dr. Hira Khan,3/10/1982,Female,0369-0123456,hira.khan@hospital.com,6767 Cedar St  Rawalpindi,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC071,42101-8561088-2,Dr. Zafar Ahmed,5/20/1978,Male,0370-1234567,zafar.ahmed@hospital.com,6868 Spruce St  Faisalabad,17,Psychiatry,DPT011,140000,11/5/2008,TRUE
DOC072,42101-0811881-1,Dr. Amina Akhtar,9/15/1984,Female,0371-2345678,amina.akhtar@hospital.com,6969 Walnut St  Multan,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC073,42101-4969594-9,Dr. Salim Rehman,11/30/1979,Male,0372-3456789,salim.rehman@hospital.com,7070 Chestnut St  Peshawar,16,Urology,DPT013,140000,3/15/2009,TRUE
DOC074,42101-8809314-5,Dr. Fozia Iqbal,1/25/1986,Female,0373-4567890,fozia.iqbal@hospital.com,7171 Birch St  Quetta,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC075,42101-9519688-6,Dr. Nasir Shah,7/12/1977,Male,0374-5678901,nasir.shah@hospital.com,7272 Pine St  Hyderabad,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC076,42101-8138649-6,Dr. Shamim Tariq,4/18/1983,Female,0375-6789012,shamim.tariq@hospital.com,7373 Elm St  Sialkot,12,Radiology,DPT016,130000,2/15/2013,TRUE
DOC077,42101-1204552-4,Dr. Azhar Butt,10/5/1976,Male,0376-7890123,azhar.butt@hospital.com,7474 Oak St  Gujranwala,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC078,42101-8771252-5,Dr. Tasneem Fatima,6/22/1985,Female,0377-8901234,tasneem.fatima@hospital.com,7575 Maple St  Karachi,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC079,42101-5982480-1,Dr. Javed Malik,2/28/1980,Male,0378-9012345,javed.malik@hospital.com,7676 Cedar St  Lahore,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC080,42101-5797347-0,Dr. Nasreen Aslam,8/15/1982,Female,0379-0123456,nasreen.aslam@hospital.com,7777 Spruce St  Islamabad,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC081,42101-9694457-9,Dr. Shoaib Raza,3/10/1978,Male,0380-1234567,shoaib.raza@hospital.com,7878 Walnut St  Rawalpindi,18,Emergency,DPT001,145000,4/15/2007,FALSE
DOC082,42101-6657867-3,Dr. Rabia Yousuf,7/25/1984,Female,0381-2345678,rabia.yousuf@hospital.com,7979 Chestnut St  Faisalabad,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC083,42101-0309784-1,Dr. Tahir Ahmed,11/12/1979,Male,0382-3456789,tahir.ahmed@hospital.com,8080 Birch St  Multan,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC084,42101-7737041-9,Dr. Saima Khan,5/20/1986,Female,0383-4567890,saima.khan@hospital.com,8181 Pine St  Peshawar,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC085,42101-0301758-8,Dr. Arshad Hussain,9/15/1977,Male,0384-5678901,arshad.hussain@hospital.com,8282 Elm St  Quetta,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC086,42101-9794454-1,Dr. Farhana Ali,2/28/1983,Female,0385-6789012,farhana.ali@hospital.com,8383 Oak St  Hyderabad,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC087,42101-7204835-6,Dr. Irfan Mahmood,6/12/1980,Male,0386-7890123,irfan.mahmood@hospital.com,8484 Maple St  Sialkot,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC088,42101-5500536-5,Dr. Saba Rehman,12/1/1985,Female,0387-8901234,saba.rehman@hospital.com,8585 Cedar St  Gujranwala,10,ENT,DPT008,128000,2/15/2015,TRUE
DOC089,42101-2369546-0,Dr. Ashfaq Qureshi,8/25/1976,Male,0388-9012345,ashfaq.qureshi@hospital.com,8686 Spruce St  Karachi,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC090,42101-9276102-8,Dr. Nida Khan,3/10/1982,Female,0389-0123456,nida.khan@hospital.com,8787 Walnut St  Lahore,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC091,42101-2860143-8,Dr. Sajid Ahmed,5/20/1978,Male,0390-1234567,sajid.aahmed@hospital.com,8888 Chestnut St  Islamabad,17,Psychiatry,DPT011,140000,11/5/2008,TRUE
DOC092,42101-7038759-0,Dr. Aqsa Akhtar,9/15/1984,Female,0391-2345678,aqsa.akhtar@hospital.com,8989 Birch St  Rawalpindi,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC093,42101-3581418-5,Dr. Anwar Rehman,11/30/1979,Male,0392-3456789,anwar.rehman@hospital.com,9090 Pine St  Faisalabad,16,Urology,DPT013,140000,3/15/2009,TRUE
DOC094,42101-0002361-8,Dr. Hina Iqbal,1/25/1986,Female,0393-4567890,hina.iqbal@hospital.com,9191 Elm St  Multan,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC095,42101-4883820-7,Dr. Asif Shah,7/12/1977,Male,0394-5678901,asif.shah@hospital.com,9292 Oak St  Peshawar,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC096,42101-7358195-0,Dr. Shama Tariq,4/18/1983,Female,0395-6789012,shama.tariq@hospital.com,9393 Maple St  Quetta,12,Radiology,DPT016,130000,2/15/2013,FALSE
DOC097,42101-3661475-7,Dr. Naeem Butt,10/5/1976,Male,0396-7890123,naeem.butt@hospital.com,9494 Cedar St  Hyderabad,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC098,42101-5815297-8,Dr. Sumaira Fatima,6/22/1985,Female,0397-8901234,sumaira.fatima@hospital.com,9595 Spruce St  Sialkot,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC099,42101-0023658-5,Dr. Faisal Malik,2/28/1980,Male,0398-9012345,faisal.malik@hospital.com,9696 Walnut St  Gujranwala,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC100,42101-5655729-2,Dr. Tahira Aslam,8/15/1982,Female,0399-0123456,tahira.aslam@hospital.com,9797 Chestnut St  Karachi,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC101,42101-1554251-1,Dr. Shahid Raza,3/10/1978,Male,0400-1234567,shahid.raza@hospital.com,9898 Birch St  Lahore,18,Emergency,DPT001,145000,4/15/2007,TRUE
DOC102,42101-0487858-2,Dr. Farhat Yousuf,7/25/1984,Female,0401-2345678,farhat.yousuf@hospital.com,9999 Pine St  Islamabad,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC103,42101-1950792-7,Dr. Jamil Ahmed,11/12/1979,Male,0402-3456789,jamil.ahmed@hospital.com,10000 Elm St  Rawalpindi,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC104,42101-4634784-4,Dr. Sana Khan,5/20/1986,Female,0403-4567890,sana.khann@hospital.com,10001 Oak St  Faisalabad,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC105,42101-4763875-1,Dr. Arif Hussain,9/15/1977,Male,0404-5678901,arif.hussain@hospital.com,10002 Maple St  Multan,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC106,42101-3083273-7,Dr. Nadia Ali,2/28/1983,Female,0405-6789012,nadia.ali@hospital.com,10003 Cedar St  Peshawar,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC107,42101-4589708-2,Dr. Kamran Mahmood,6/12/1980,Male,0406-7890123,kamran.mahmood@hospital.com,10004 Spruce St  Quetta,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC108,42101-4441488-4,Dr. Saima Rehman,12/1/1985,Female,0407-8901234,saima.rehman@hospital.com,10005 Walnut St  Hyderabad,10,ENT,DPT008,128000,2/15/2015,TRUE
DOC109,42101-0316297-0,Dr. Yasir Qureshi,8/25/1976,Male,0408-9012345,yasir.qureshi@hospital.com,10006 Chestnut St  Sialkot,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC110,42101-7836939-0,Dr. Hina Khan,3/10/1982,Female,0409-0123456,hina.khan@hospital.com,10007 Birch St  Gujranwala,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC111,42101-5151604-6,Dr. Sajid Ahmed,5/20/1978,Male,0410-1234567,sajid.ahmed@hospital.com,10008 Pine St  Karachi,17,Psychiatry,DPT011,140000,11/5/2008,FALSE
DOC112,42101-8466740-8,Dr. Aqsa Akhtar,9/15/1984,Female,0411-2345678,aqsa.aakhtar@hospital.com,10009 Elm St  Lahore,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC113,42101-9212875-7,Dr. Anwar Rehman,11/30/1979,Male,0412-3456789,anwar.rehman@hospital.com,10010 Oak St  Islamabad,16,Urology,DPT013,140000,3/15/2009,TRUE
DOC114,42101-9257216-9,Dr. Fozia Iqbal,1/25/1986,Female,0413-4567890,fozia.iqbal@hospital.com,10011 Maple St  Rawalpindi,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC115,42101-4359702-5,Dr. Nasir Shah,7/12/1977,Male,0414-5678901,nasir.shah@hospital.com,10012 Cedar St  Faisalabad,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC116,42101-5623654-3,Dr. Shamim Tariq,4/18/1983,Female,0415-6789012,shamim.tariq@hospital.com,10013 Spruce St  Multan,12,Radiology,DPT016,130000,2/15/2013,TRUE
DOC117,42101-9714901-4,Dr. Azhar Butt,10/5/1976,Male,0416-7890123,azhar.butt@hospital.com,10014 Walnut St  Peshawar,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC118,42101-2698518-0,Dr. Tasneem Fatima,6/22/1985,Female,0417-8901234,tasneem.fatima@hospital.com,10015 Chestnut St  Quetta,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC119,42101-7906449-8,Dr. Javed Malik,2/28/1980,Male,0418-9012345,javed.malik@hospital.com,10016 Birch St  Hyderabad,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
DOC120,42101-5042965-8,Dr. Nasreen Aslam,8/15/1982,Female,0419-0123456,nasreen.aslam@hospital.com,10017 Pine St  Sialkot,13,Pathology,DPT020,130000,1/20/2012,TRUE
DOC121,42101-5301801-5,Dr. Shoaib Raza,3/10/1978,Male,0420-1234567,shoaib.raza@hospital.com,10018 Elm St  Gujranwala,18,Emergency,DPT001,145000,4/15/2007,FALSE
DOC122,42101-9426314-8,Dr. Rabia Yousuf,7/25/1984,Female,0421-2345678,rabia.yousuf@hospital.com,10019 Oak St  Karachi,11,Cardiology,DPT002,130000,7/10/2014,TRUE
DOC123,42101-7623609-0,Dr. Tahir Ahmed,11/12/1979,Male,0422-3456789,tahir.ahmed@hospital.com,10020 Maple St  Lahore,16,Neurology,DPT003,140000,10/5/2009,TRUE
DOC124,42101-4199228-1,Dr. Saima Khan,5/20/1986,Female,0423-4567890,saima.khan@hospital.com,10021 Cedar St  Islamabad,9,Orthopedics,DPT004,125000,1/20/2016,TRUE
DOC125,42101-3321176-2,Dr. Arshad Hussain,9/15/1977,Male,0424-5678901,arshad.hussain@hospital.com,10022 Spruce St  Rawalpindi,20,Pediatrics,DPT005,150000,3/15/2005,TRUE
DOC126,42101-6270913-5,Dr. Farhana Ali,2/28/1983,Female,0425-6789012,farhana.ali@hospital.com,10023 Walnut St  Faisalabad,12,Gynecology,DPT006,130000,6/10/2013,TRUE
DOC127,42101-5435256-7,Dr. Irfan Mahmood,6/12/1980,Male,0426-7890123,irfan.mahmood@hospital.com,10024 Chestnut St  Multan,15,Surgery,DPT007,140000,9/25/2010,TRUE
DOC128,42101-1747986-9,Dr. Saba Rehman,12/1/1985,Female,0427-8901234,saba.rehman@hospital.com,10025 Birch St  Peshawar,10,ENT,DPT008,128000,2/15/2015,TRUE
DOC129,42101-8025250-4,Dr. Ashfaq Qureshi,8/25/1976,Male,0428-9012345,ashfaq.qureshi@hospital.com,10026 Pine St  Quetta,19,Ophthalmology,DPT009,145000,5/20/2006,TRUE
DOC130,42101-5398208-6,Dr. Nida Khan,3/10/1982,Female,0429-0123456,nida.khan@hospital.com,10027 Elm St  Hyderabad,13,Dermatology,DPT010,130000,8/10/2012,TRUE
DOC131,42101-0019766-3,Dr. Sajid Ahmed,5/20/1978,Male,0430-1234567,sajjid.ahmed@hospital.com,10028 Oak St  Sialkot,17,Psychiatry,DPT011,140000,11/5/2008,TRUE
DOC132,42101-5419343-2,Dr. Aqsa Akhtar,9/15/1984,Female,0431-2345678,aqsa.akhtar@hospital.com,10029 Maple St  Gujranwala,11,Oncology,DPT012,130000,1/20/2014,TRUE
DOC133,42101-1990391-2,Dr. Anwar Rehman,11/30/1979,Male,0432-3456789,anwar.rehman@hospital.com,10030 Cedar St  Karachi,16,Urology,DPT013,140000,3/15/2009,FALSE
DOC134,42101-5079639-6,Dr. Fozia Iqbal,1/25/1986,Female,0433-4567890,fozia.iqbal@hospital.com,10031 Spruce St  Lahore,9,Nephrology,DPT014,125000,6/10/2016,TRUE
DOC135,42101-4437172-2,Dr. Nasir Shah,7/12/1977,Male,0434-5678901,nasir.shah@hospital.com,10032 Walnut St  Islamabad,18,Gastroenterology,DPT015,145000,9/25/2007,TRUE
DOC136,42101-9457799-0,Dr. Shamim Tariq,4/18/1983,Female,0435-6789012,shamim.tariq@hospital.com,10033 Chestnut St  Rawalpindi,12,Radiology,DPT016,130000,2/15/2013,TRUE
DOC137,42101-6697187-4,Dr. Azhar Butt,10/5/1976,Male,0436-7890123,azhar.butt@hospital.com,10034 Birch St  Faisalabad,19,Anesthesiology,DPT017,145000,5/20/2006,TRUE
DOC138,42101-5845204-8,Dr. Tasneem Fatima,6/22/1985,Female,0437-8901234,tasneem.fatima@hospital.com,10035 Pine St  Multan,10,ICU,DPT018,128000,8/10/2015,TRUE
DOC139,42101-4501678-0,Dr. Javed Malik,2/28/1980,Male,0438-9012345,javed.malik@hospital.com,10036 Elm St  Peshawar,15,Pulmonology,DPT019,140000,11/5/2010,TRUE
